                              IERS Bulletin A                   No. 1574
                  Values of Earth Orientation Parameters *
   YR MO DA   MJD        x     error      y     error   UT1-UTC   error
P  13  4 20  56402   0.0738  0.0073   0.3906  0.0093   0.13075  0.00761
P  13  4 21  56403   0.0751  0.0074   0.3912  0.0094   0.12937  0.00769
P  13  4 22  56404   0.0764  0.0074   0.3918  0.0095   0.12785  0.00777
P  13  4 23  56405   0.0777  0.0075   0.3923  0.0096   0.12624  0.00784
P  13  4 24  56406   0.0790  0.0075   0.3929  0.0096   0.12458  0.00792
P  13  4 25  56407   0.0803  0.0076   0.3934  0.0097   0.12295  0.00800
P  13  4 26  56408   0.0817  0.0076   0.3939  0.0098   0.12143  0.00807
P  13  4 27  56409   0.0831  0.0077   0.3944  0.0099   0.12004  0.00815
P  13  4 28  56410   0.0845  0.0077   0.3948  0.0100   0.11879  0.00822
P  13  4 29  56411   0.0858  0.0078   0.3953  0.0100   0.11763  0.00830
P  13  4 30  56412   0.0873  0.0078   0.3957  0.0101   0.11648  0.00838
P  13  5  1  56413   0.0887  0.0079   0.3961  0.0102   0.11529  0.00845

* "P" indicates that data are predicted for that day
